feature_id,feature_name,tender_number,area_code,area_name,placemark_name,aimag,soum,area_hectares,declared_coordinate_count,source_coordinate_count,unique_coordinate_count,geometry_type,polygon_count,hole_count,hole_coordinate_count,profile,source_placemark_id,description,coordinate_system,polygon_closed,bbox_min_longitude,bbox_min_latitude,bbox_max_longitude,bbox_max_latitude,center_longitude,center_latitude,source_url,closure_note,repairs
9101,Уудавын булаг,91,9101,Уудавын булаг,91_0001_Уудавын_булаг,Ховд,Алтай,1053.51,27,28,27,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Уудавын булаг</td></tr><tr><th align='left'>Код</th><td>9101</td></tr><tr><th align='left'>Аймаг</th><td>Ховд</td></tr><tr><th align='left'>Сум</th><td>Алтай</td></tr><tr><th align='left'>Талбай (га)</th><td>1053.51</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>27</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,92.3581833333,46.3401166667,92.413725,46.3938638889,92.37839284223742,46.36750799801168,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9102,Хөндлөн,91,9102,Хөндлөн,91_0002_Хөндлөн,Ховд,Алтай,147.66,15,16,15,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Хөндлөн</td></tr><tr><th align='left'>Код</th><td>9102</td></tr><tr><th align='left'>Аймаг</th><td>Ховд</td></tr><tr><th align='left'>Сум</th><td>Алтай</td></tr><tr><th align='left'>Талбай (га)</th><td>147.66</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>15</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,92.3614972222,46.3337277778,92.3842916667,46.3519222222,92.36922658618289,46.342155906188694,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9103,Шанд булаг,91,9103,Шанд булаг,91_0003_Шанд_булаг,Говь-Алтай,"Бигэр, Чандмань",3022.58,148,149,148,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Шанд булаг</td></tr><tr><th align='left'>Код</th><td>9103</td></tr><tr><th align='left'>Аймаг</th><td>Говь-Алтай</td></tr><tr><th align='left'>Сум</th><td>Бигэр, Чандмань</td></tr><tr><th align='left'>Талбай (га)</th><td>3022.58</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>148</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,97.5311111111,45.7719444444,97.6253972222,45.8190416667,97.57805503759815,45.79260622760765,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9104,Зах салаа,91,9104,Зах салаа,91_0004_Зах_салаа,Баян-Өлгий,Цэнгэл,1372.22,51,52,51,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Зах салаа</td></tr><tr><th align='left'>Код</th><td>9104</td></tr><tr><th align='left'>Аймаг</th><td>Баян-Өлгий</td></tr><tr><th align='left'>Сум</th><td>Цэнгэл</td></tr><tr><th align='left'>Талбай (га)</th><td>1372.22</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>51</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,88.7080027778,48.8004583333,88.8020027778,48.8338,88.7443534942662,48.81214040389921,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9105,Бор уул,91,9105,Бор уул,91_0005_Бор_уул,Баян-Өлгий,Цэнгэл,1760.47,54,55,54,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Бор уул</td></tr><tr><th align='left'>Код</th><td>9105</td></tr><tr><th align='left'>Аймаг</th><td>Баян-Өлгий</td></tr><tr><th align='left'>Сум</th><td>Цэнгэл</td></tr><tr><th align='left'>Талбай (га)</th><td>1760.47</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>54</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,88.8751222222,48.8040777778,88.9708861111,48.8500972222,88.9180385770312,48.83045638315918,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9106,Ховд гол,91,9106,Ховд гол,91_0006_Ховд_гол,Баян-Өлгий,Цэнгэл,168.14,15,16,15,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Ховд гол</td></tr><tr><th align='left'>Код</th><td>9106</td></tr><tr><th align='left'>Аймаг</th><td>Баян-Өлгий</td></tr><tr><th align='left'>Сум</th><td>Цэнгэл</td></tr><tr><th align='left'>Талбай (га)</th><td>168.14</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>15</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,88.787475,48.7208861111,88.8082888889,48.7374888889,88.79822929171637,48.72777731126109,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9107,Бураат уул-1,91,9107,Бураат уул-1,91_0007_Бураат_уул-1,Баян-Өлгий,Ногооннуур,503.54,12,13,12,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Бураат уул-1</td></tr><tr><th align='left'>Код</th><td>9107</td></tr><tr><th align='left'>Аймаг</th><td>Баян-Өлгий</td></tr><tr><th align='left'>Сум</th><td>Ногооннуур</td></tr><tr><th align='left'>Талбай (га)</th><td>503.54</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>12</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,90.162475,49.1790777778,90.2000722222,49.2042833333,90.17843157136983,49.19361211176026,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9108,Гашуун харын толгод,91,9108,Гашуун харын толгод,91_0008_Гашуун_харын_толгод,Дорноговь,"Сайхандулаан, Сайншанд",4886.08,28,29,28,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Гашуун харын толгод</td></tr><tr><th align='left'>Код</th><td>9108</td></tr><tr><th align='left'>Аймаг</th><td>Дорноговь</td></tr><tr><th align='left'>Сум</th><td>Сайхандулаан, Сайншанд</td></tr><tr><th align='left'>Талбай (га)</th><td>4886.08</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>28</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,109.5560861111,44.6666666667,109.7087861111,44.7337694444,109.65600055863732,44.70763537700165,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9109,Олон булаг,91,9109,Олон булаг,91_0009_Олон_булаг,Увс,Наранбулаг,5719.32,74,75,74,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Олон булаг</td></tr><tr><th align='left'>Код</th><td>9109</td></tr><tr><th align='left'>Аймаг</th><td>Увс</td></tr><tr><th align='left'>Сум</th><td>Наранбулаг</td></tr><tr><th align='left'>Талбай (га)</th><td>5719.32</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>74</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,92.4621361111,49.5782222222,92.6560861111,49.6564388889,92.5349302240675,49.61916300238636,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
9110,Дарцагт,91,9110,Дарцагт,91_0010_Дарцагт,Дорнод,Чойбалсан,104.41,6,7,6,Polygon,1,0,0,tender_areas,,"<table border='1' cellpadding='4' cellspacing='0'><tr><th align='left'>Сонгон шалгаруулалт</th><td>91</td></tr><tr><th align='left'>Талбай</th><td>Дарцагт</td></tr><tr><th align='left'>Код</th><td>9110</td></tr><tr><th align='left'>Аймаг</th><td>Дорнод</td></tr><tr><th align='left'>Сум</th><td>Чойбалсан</td></tr><tr><th align='left'>Талбай (га)</th><td>104.41</td></tr><tr><th align='left'>Ашигт малтмал</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Координатын тоо</th><td>6</td></tr><tr><th align='left'>Coordinate System</th><td>WGS84 (EPSG:4326)</td></tr><tr><th align='left'>Эх сурвалж</th><td><a href=""https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga"">https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga</a></td></tr><tr><th align='left'>Геологийн муж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Тектоникийн нэгж</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>1:200,000 геологийн лист</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Илэрцүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ордууд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ашигт малтмалын илрэлүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Ойролцоох лицензүүд</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол зам хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Суурин газар хүртэлх ойролцоо зай</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Гол мөрөн</th><td>Мэдээлэл байхгүй</td></tr><tr><th align='left'>Хамгаалалттай газар</th><td>Мэдээлэл байхгүй</td></tr></table>",WGS84 (EPSG:4326),True,114.7942472222,48.6696222222,114.81175,48.678325,114.80376176117059,48.67458244443883,https://mrpam.gov.mn/news/songon-shalgaruulalt-91-n-urilga,Each source outer ring contains a required closing coordinate that repeats its first vertex; the declared count excludes closing coordinates.,
